,id,description,price,predict,price_diff
0,5178,"Please don鈥檛 expect the luxury here just a basic room in the center of Manhattan.<br /><br /><b>The space</b><br />You will use one large, furnished, private room of a two-bedroom apartment and share a bathroom with the host.  <br /><br />The apartment is located a few blocks away from Central Park between 8th and 9th Avenue.<br />The closest subway station is Columbus Circle 59th Street.  Great restaurants, Broadway and all transportation are easily accessible. <br /><br />The cost of the room is $79 per night.  Weekly rate is available.<br />There is a $12.00 fee per second guest. <br /><br />The apartment also features hardwood floors and a second-floor walk-up. <br />There is a full-sized bed,TV, microwave, and a small refrigerator as well as other appliances.  <br />Wired internet, WIFI, TV, electric heat, bed sheets and towels are included. <br /><br />A kitchen is not available in the living room. Please ask the host if you need.<br /><br />Basic check in/out time is 10 am. I am",68,196.455,128.455
1,593311739520916992,"This cubicle room is just for you and nobody else. Its door has a lock. Access to communal bathroom/shower/sink, and common lounge area. Peace and quiet strictly observed. Friendly staff on-site 24/7.Complimentary breakfast any time of day. Free WiFi everywhere. Fresh, clean sheets, pillows towels, blankets, shampoo, shower gel, hand soap provided. Basic yet safe, quiet and clean. Midtown Manhattan,within walking distance of Penn Station,FIT,Madison Square Garden,High Line Park,Theater District<br /><br /><b>The space</b><br />Great fit for solo travelers on budget: central location, individual sleeping cubicle with door and lock. Basic accommodation yet safe, quiet, and very clean. Friendly helpful staff on-site 24 hrs. Breakfast 24 hrs. Free WiFi. Good price.<br /><br /><b>Guest access</b><br />Your cubicle is just for you and nobody else. Nobody else has access or can enter your cubicle. It's strictly for your individual use. Sharing the cubicle with others is not allowed. It's proh",92,93.845,1.8449999999999989
2,47269867,"The best Central location. <br />Union Square station is right there or pretty much everything in Manhattan is $10 uber away. <br />Whole Foods is minutes away. <br />Dozens of the best restaurants at your doorsteps.<br />The apartment is exceptionally quiet which is very rare to find in manhattan.<br />The place is modern, all appliances are new.",414,430.4625,16.462499999999977
3,4509560,"BRAND NEW !!! Fully furnished Studio Apartment ~ Prime Gramercy Park ~ E19 <br />Gorgeous, comfortable and Spacious studio apartment in the heart of Downtown Gramercy <br />This Beauty and Charm of an apartment offers tons of light! Hardwood Floors, framed walls! Comfortable Bathroom, Wi-Fi, Cable, Flat Screen TV, The living room couch is a Sofa Bed, Designated Smart Work area in Living room, warm and cozy Kitchen space.<br /><br /><b>The space</b><br />BRAND NEW !!! Fully furnished Studio Apartment ~ Prime Gramercy Park ~ E19 <br />Gorgeous, comfortable and Spacious studio apartment in the heart of Downtown Gramercy <br />This Beauty and Charm of an apartment offers tons of light! Hardwood Floors, framed walls! Comfortable Bathroom, Wi-Fi, Cable, Flat Screen TV, The living room couch is a Sofa Bed, Designated Smart Work area in Living room, warm and cozy Kitchen space. <br />The Bedroom offers a queen size bed and a beautiful vanity couch by the window to enjoy the relaxing light with",130,143.195,13.194999999999993
4,1118031,"Private Bedroom for one in the best neighborhood in NYC. Steps from many subway lines so you can get to best sites- Central Park, Times Square, Empire State Building etc quickly- or stay in the area for amazing food, shopping, street art, ppl watching, true NYC experience. You will be sharing space with me- Yoga Teacher/amazing Baker. I am pretty low key but always happy to give recommendations to help make your stay more enjoyable :)! Check out my other listing to see reviews for the place.<br /><br /><b>The space</b><br />My apartment is super charming and has everything you need to make you feel at home during your stay.<br />-Cozy bedroom with all the linens you will need. <br />-Great heat in the winter, AC in the summer.<br />-Bath towels and wash cloths<br />-High quality filtered water <br />-Wide variety of cooking oils, spices<br />-French Press coffee maker<br />-Exposed brick in every room<br />-Intercom buzzer with camera <br />-Lots of windows and sunlight<br />-Organic c",136,114.455,-21.545
5,52124237,"Amazing apartment connected to the hotel. You can use all amenities from the hotel. Beautiful bar in the hotel lobby aswell<br /><br /><b>The space</b><br />Beautiful 1bdrm, very cool furnished, view on the Brooklyn bridge, great light<br /><br /><b>Guest access</b><br />All major subways 3 min away, walkable to soho<br /><br /><b>Other things to note</b><br />Room service available",875,448.395,-426.605
6,12496037,"3BR/2B apt on tree-lined W 84th St., less than 1/2 block from Central Park.  Classic NYC pre-war bldg:  large rooms, architectural detail, elevator, doorman.  MBR w/queen bed and en suite bath.  Second bedroom w/queen bed.  Small bedroom/office with futon.  W/D in eat-in kitchen.  Separate dining room.<br /><br /><b>The space</b><br />This sunny Upper West Side 3BR/2B apartment is practically next door to Central Park on West 84th Street, between Central Park West and Columbus Ave.  It's large - 1560 sq.ft. - and located on the 8th floor of a classic New York pre-war apartment building with elevator and doorman.  <br /><br />The comfortable living room has leather furniture, an oriental rug, and a piano.  The eat-in kitchen has granite countertops and is flooded with light.  The kitchen and dining room windows look out on a cityscape of rooftop water towers, where a red-tailed hawk from Central Park can occasionally be spotted, as well as kestrels and peregrine falcons.  A washer/dryer",235,286.7320833333334,51.73208333333338
7,36487245,"Private room in a nice duplex in the very heart of Hell's Kitchen. <br />All the best that New York has to offer is less than 10 minutes away: restaurants, Times Square, Broadway, Central Park. <br />The bedroom is located on the first floor of the apartment. The kitchen is fully equiped and there is a laundry room in the basement. All you need to make yourself home.<br />After a long day in the city, let's enjoy our private balconies or the rooftop located on the same floor!",65,90.085,25.084999999999994
8,53753120,"Spectacular fully furnished 1 bedroom  / 1 bathroom apartment located at Columbus Circle in Midtown Manhattan, one of the most walkable and bikeable in Manhattan and just two blocks from Central Park.<br /><br /><b>The space</b><br />APARTMENT FEATURES:<br />** 1 Bedroom and 1 Bathroom<br />** Lots of windows throughout entire apartment<br />** Kitchen finishes include countertops, appliances, built-in microwave and Dishwasher<br />** Fully equipped kitchen with utensils, cutlery, etc.<br />** Wireless internet<br />** Flat screen TV with basic channels in Master bedroom and in living room<br />** Comfortable sofa in living room<br />** Dining table seats 4<br />** Spacious Closets<br />** Parquet wood flooring<br />** Towels and Linens provided free of charge<br /><br /><br />BUILDING FEATURES:<br />** An elevator building with 24Hr doorman<br />** Lobby level laundry room with Washers/Dryers<br />** Attached garage (you could contract with the garage directly for a monthly fee)",220,188.61291666666665,-31.38708333333335
9,640603732789794048,"Super Sunny 1 br faced to South in a historic 19th century townhouse is situated at the intersection of Chelsea, Midtown and the new Hudson Yards district. This neighborhood is in the heart of Manhattan, blocks from Penn Station's trains & subways, and one block away from the famous High Line Park. Also minutes away from Broadway theaters, Times Square the Javits Center, and the restaurants, shops, and art galleries of Chelsea. Perfect for solo occupants, or couples.",364,465.7525,101.7525
10,21695292,One BR close to Union Square and subways,225,157.1175,-67.8825
11,599276310569086976,Enjoy a stylish experience at this centrally located place.,571,452.87,-118.13
12,22005812,"This sun drenched apartment is located on West 22 and Tenth Avenue in the heart of West Chelsea and near the High-line. Newly renovated and designed to perfection with no expense spared --  Features include a queen sized murphy bed, day bed/couch for guests, TV, a breakfast bar with countertop, and stainless steel appliances, full bathroom and tons of storage/closet space.  The apartment comes with bedding, sheets and towels. Kitchen is equipped with tableware, plates, cups and silverware.",135,143.31,8.310000000000002
13,13019720,"This beautiful 760 Square foot 2 bedroom, 2 bath unit with kitchen is located in the heart of Manhattan only a few blocks from Times Square and other major attractions that NYC has to offer. It has a great lounge area with amazing views of the city, a workout facility, and more.",275,507.92375,232.92374999999998
14,689845757881095040,"Gorgeous and well designed Studio apartment with no separate seating area located just steps from Central Park and Transportation. The unit sleeps up to 2 guests. The unit features include 1 Queen size beds, Sofa, private kitchen and bath.<br />We provide the comforts of home with linen/duvet/blankets/pillows and towel upon arrival.",105,108.965,3.9650000000000034
15,44425491,"Palatial triplex with 25-ft ceilings, that opens onto a 1000 sf private terrace.  Located on a quiet non-through street that runs into Tompkins Square Park, this 100% unique loft has 3 floors, 3 full bedrooms鈥 2 with queen beds and 1 with daybed that opens to a queen, plus a private office pod that overlooks the living room.  This is an authentic, hand-built E Vill loft in a small, 2-family building. You will find nothing else like it in the neighborhood.<br /><br /><b>The space</b><br />This space is ideal either for a family or a live-work situation, as there is tons of room to set up offices or work stations.<br /><br /><b>Guest access</b><br />This is a fully private apartment.<br /><br /><b>Other things to note</b><br />Building has new camera intercom system for deliveries, and owners will be available as needed for whatever you need.<br /><br />Our loft is a home, not a hotel and not strictly a 鈥渞ental鈥. It has curated furnishings and art that our guests have all commented make ",314,194.8625,-119.13749999999999
16,30059328,It's 5 floor walk up but you are in the heart of Greenwich Village. Only two blocks from Washington Square Park plus near the West 4th subway stop (ACE and BDFM trains). There are plenty of restaurants and bars within walking distance.,195,151.8675,-43.13249999999999
